2026-04-01 05:43:01:  Start checking... 
2026-04-01 05:43:01: bl.spamcop.net -----------------------------  √
2026-04-01 05:43:04: dnsbl.sorbs.net -----------------------------  √
2026-04-01 05:43:06: multi.surbl.org -----------------------------  √
2026-04-01 05:43:08: http.dnsbl.sorbs.net -----------------------------  √
2026-04-01 05:43:10: misc.dnsbl.sorbs.net -----------------------------  √
2026-04-01 05:43:12: socks.dnsbl.sorbs.net -----------------------------  √
2026-04-01 05:43:14: web.dnsbl.sorbs.net -----------------------------  √
2026-04-01 05:43:16: rbl.spamlab.com -----------------------------  √
2026-04-01 05:43:18: cbl.anti-spam.org.cn -----------------------------  √
2026-04-01 05:43:24: httpbl.abuse.ch -----------------------------  √
2026-04-01 05:43:26: virbl.bit.nl -----------------------------  √
2026-04-01 05:43:28: dsn.rfc-ignorant.org -----------------------------  √
2026-04-01 05:43:30: opm.tornevall.org -----------------------------  √
2026-04-01 05:43:32: multi.surbl.org -----------------------------  √
2026-04-01 05:43:35: relays.mail-abuse.org -----------------------------  √
2026-04-01 05:43:37: rbl-plus.mail-abuse.org -----------------------------  √
2026-04-01 05:43:39: rbl.interserver.net -----------------------------  √
2026-04-01 05:43:41: dul.dnsbl.sorbs.net -----------------------------  √
2026-04-01 05:43:43: smtp.dnsbl.sorbs.net -----------------------------  √
2026-04-01 05:43:45: spam.dnsbl.sorbs.net -----------------------------  √
2026-04-01 05:43:47: zombie.dnsbl.sorbs.net -----------------------------  √
2026-04-01 05:43:49: drone.abuse.ch -----------------------------  √
2026-04-01 05:43:51: rbl.suresupport.com -----------------------------  √
2026-04-01 05:43:53: spamguard.leadmon.net -----------------------------  √
2026-04-01 05:43:55: netblock.pedantic.org -----------------------------  √
2026-04-01 05:43:57: blackholes.mail-abuse.org -----------------------------  √
2026-04-01 05:43:59: dnsbl.dronebl.org -----------------------------  √
2026-04-01 05:44:01: query.senderbase.org -----------------------------  √
2026-04-01 05:44:04: csi.cloudmark.com -----------------------------  √
2026-04-01 05:44:06: 0spam-killlist.fusionzero.com -----------------------------  √
2026-04-01 05:44:08: access.redhawk.org -----------------------------  √
2026-04-01 05:44:18: all.rbl.jp -----------------------------  √
2026-04-01 05:44:20: all.spam-rbl.fr -----------------------------  √
2026-04-01 05:44:22: all.spamrats.com -----------------------------  √
2026-04-01 05:44:29: aspews.ext.sorbs.net -----------------------------  √
2026-04-01 05:44:31: b.barracudacentral.org -----------------------------  √
