2026-03-29 09:59:03:  Start checking... 
2026-03-29 09:59:03: bl.spamcop.net -----------------------------  √
2026-03-29 09:59:05: dnsbl.sorbs.net -----------------------------  √
2026-03-29 09:59:07: multi.surbl.org -----------------------------  √
2026-03-29 09:59:09: http.dnsbl.sorbs.net -----------------------------  √
2026-03-29 09:59:11: misc.dnsbl.sorbs.net -----------------------------  √
2026-03-29 09:59:14: socks.dnsbl.sorbs.net -----------------------------  √
2026-03-29 09:59:16: web.dnsbl.sorbs.net -----------------------------  √
2026-03-29 09:59:18: rbl.spamlab.com -----------------------------  √
2026-03-29 09:59:20: cbl.anti-spam.org.cn ----------------------------- Invalid
2026-03-29 09:59:20: httpbl.abuse.ch -----------------------------  √
2026-03-29 09:59:22: virbl.bit.nl -----------------------------  √
2026-03-29 09:59:24: dsn.rfc-ignorant.org -----------------------------  √
2026-03-29 09:59:26: opm.tornevall.org -----------------------------  √
2026-03-29 09:59:29: multi.surbl.org -----------------------------  √
2026-03-29 09:59:31: relays.mail-abuse.org -----------------------------  √
2026-03-29 09:59:33: rbl-plus.mail-abuse.org -----------------------------  √
2026-03-29 09:59:35: rbl.interserver.net -----------------------------  √
2026-03-29 09:59:37: dul.dnsbl.sorbs.net -----------------------------  √
2026-03-29 09:59:39: smtp.dnsbl.sorbs.net -----------------------------  √
2026-03-29 09:59:41: spam.dnsbl.sorbs.net -----------------------------  √
2026-03-29 09:59:43: zombie.dnsbl.sorbs.net -----------------------------  √
2026-03-29 09:59:45: drone.abuse.ch -----------------------------  √
2026-03-29 09:59:47: rbl.suresupport.com -----------------------------  √
2026-03-29 09:59:49: spamguard.leadmon.net -----------------------------  √
2026-03-29 09:59:51: netblock.pedantic.org -----------------------------  √
2026-03-29 09:59:53: blackholes.mail-abuse.org -----------------------------  √
2026-03-29 09:59:55: dnsbl.dronebl.org -----------------------------  √
2026-03-29 09:59:58: query.senderbase.org -----------------------------  √
2026-03-29 10:00:00: csi.cloudmark.com -----------------------------  √
2026-03-29 10:00:02: 0spam-killlist.fusionzero.com -----------------------------  √
2026-03-29 10:00:04: access.redhawk.org -----------------------------  √
2026-03-29 10:00:14: all.rbl.jp -----------------------------  √
2026-03-29 10:00:16: all.spam-rbl.fr -----------------------------  √
2026-03-29 10:00:19: all.spamrats.com -----------------------------  √
2026-03-29 10:00:25: aspews.ext.sorbs.net -----------------------------  √
2026-03-29 10:00:27: b.barracudacentral.org -----------------------------  √
2026-03-29 10:00:29: backscatter.spameatingmonkey.net -----------------------------  √
2026-03-29 10:00:31: badnets.spameatingmonkey.net -----------------------------  √
2026-03-29 10:00:33: bb.barracudacentral.org -----------------------------  √
2026-03-29 10:00:35: bl.drmx.org -----------------------------  √
2026-03-29 10:00:38: bl.konstant.no -----------------------------  √
2026-03-29 10:00:40: bl.nszones.com -----------------------------  √
2026-03-29 10:00:42: bl.spamcannibal.org -----------------------------  √
2026-03-29 10:00:44: bl.spameatingmonkey.net -----------------------------  √
2026-03-29 10:00:46: bl.spamstinks.com -----------------------------  √
2026-03-29 10:00:48: black.junkemailfilter.com -----------------------------  √
2026-03-29 10:00:50: blackholes.five-ten-sg.com -----------------------------  √
2026-03-29 10:00:53: blacklist.sci.kun.nl -----------------------------  √
2026-03-29 10:00:55: blacklist.woody.ch -----------------------------  √
2026-03-29 10:00:57: bogons.cymru.com -----------------------------  √
2026-03-29 10:00:59: bsb.empty.us -----------------------------  √
2026-03-29 10:01:01: bsb.spamlookup.net -----------------------------  √
2026-03-29 10:01:03: cart00ney.surriel.com -----------------------------  √
2026-03-29 10:01:05: cbl.abuseat.org -----------------------------  √
2026-03-29 10:01:07: cbl.anti-spam.org.cn ----------------------------- Invalid
2026-03-29 10:01:07: cblless.anti-spam.org.cn ----------------------------- Invalid
2026-03-29 10:01:09: cblplus.anti-spam.org.cn ----------------------------- Invalid
2026-03-29 10:01:09: cdl.anti-spam.org.cn ----------------------------- Invalid
2026-03-29 10:01:09: cidr.bl.mcafee.com -----------------------------  √
2026-03-29 10:01:11: combined.rbl.msrbl.net -----------------------------  √
2026-03-29 10:01:13: db.wpbl.info -----------------------------  √
2026-03-29 10:01:15: dev.null.dk -----------------------------  √
2026-03-29 10:01:18: dialups.visi.com -----------------------------  √
2026-03-29 10:01:20: dnsbl-0.uceprotect.net -----------------------------  √
2026-03-29 10:01:22: dnsbl-1.uceprotect.net -----------------------------  √
2026-03-29 10:01:24: dnsbl-2.uceprotect.net -----------------------------  √
