2026-04-01 11:34:15:  Start checking... 
2026-04-01 11:34:15: bl.spamcop.net -----------------------------  √
2026-04-01 11:34:17: dnsbl.sorbs.net -----------------------------  √
2026-04-01 11:34:19: multi.surbl.org -----------------------------  √
2026-04-01 11:34:22: http.dnsbl.sorbs.net -----------------------------  √
2026-04-01 11:34:24: misc.dnsbl.sorbs.net -----------------------------  √
2026-04-01 11:34:26: socks.dnsbl.sorbs.net -----------------------------  √
2026-04-01 11:34:28: web.dnsbl.sorbs.net -----------------------------  √
2026-04-01 11:34:30: rbl.spamlab.com -----------------------------  √
2026-04-01 11:34:32: cbl.anti-spam.org.cn ----------------------------- Invalid
2026-04-01 11:34:32: httpbl.abuse.ch -----------------------------  √
2026-04-01 11:34:34: virbl.bit.nl -----------------------------  √
2026-04-01 11:34:36: dsn.rfc-ignorant.org -----------------------------  √
2026-04-01 11:34:38: opm.tornevall.org -----------------------------  √
2026-04-01 11:34:40: multi.surbl.org -----------------------------  √
2026-04-01 11:34:43: relays.mail-abuse.org -----------------------------  √
2026-04-01 11:34:45: rbl-plus.mail-abuse.org -----------------------------  √
2026-04-01 11:34:47: rbl.interserver.net -----------------------------  √
2026-04-01 11:34:49: dul.dnsbl.sorbs.net -----------------------------  √
2026-04-01 11:34:51: smtp.dnsbl.sorbs.net -----------------------------  √
2026-04-01 11:34:53: spam.dnsbl.sorbs.net -----------------------------  √
2026-04-01 11:34:55: zombie.dnsbl.sorbs.net -----------------------------  √
2026-04-01 11:34:57: drone.abuse.ch -----------------------------  √
2026-04-01 11:34:59: rbl.suresupport.com -----------------------------  √
2026-04-01 11:35:01: spamguard.leadmon.net -----------------------------  √
2026-04-01 11:35:03: netblock.pedantic.org -----------------------------  √
2026-04-01 11:35:05: blackholes.mail-abuse.org -----------------------------  √
2026-04-01 11:35:07: dnsbl.dronebl.org -----------------------------  √
2026-04-01 11:35:10: query.senderbase.org -----------------------------  √
2026-04-01 11:35:12: csi.cloudmark.com -----------------------------  √
2026-04-01 11:35:14: 0spam-killlist.fusionzero.com -----------------------------  √
2026-04-01 11:35:16: access.redhawk.org -----------------------------  √
2026-04-01 11:35:26: all.rbl.jp -----------------------------  √
2026-04-01 11:35:28: all.spam-rbl.fr -----------------------------  √
2026-04-01 11:35:31: all.spamrats.com -----------------------------  √
2026-04-01 11:35:37: aspews.ext.sorbs.net -----------------------------  √
2026-04-01 11:35:39: b.barracudacentral.org -----------------------------  √
2026-04-01 11:35:42: backscatter.spameatingmonkey.net -----------------------------  √
2026-04-01 11:35:44: badnets.spameatingmonkey.net -----------------------------  √
2026-04-01 11:35:46: bb.barracudacentral.org -----------------------------  √
2026-04-01 11:35:49: bl.drmx.org -----------------------------  √
2026-04-01 11:35:51: bl.konstant.no -----------------------------  √
2026-04-01 11:35:53: bl.nszones.com -----------------------------  √
2026-04-01 11:35:55: bl.spamcannibal.org -----------------------------  √
2026-04-01 11:35:57: bl.spameatingmonkey.net -----------------------------  √
2026-04-01 11:35:59: bl.spamstinks.com -----------------------------  √
2026-04-01 11:36:01: black.junkemailfilter.com -----------------------------  √
2026-04-01 11:36:03: blackholes.five-ten-sg.com -----------------------------  √
2026-04-01 11:36:05: blacklist.sci.kun.nl -----------------------------  √
2026-04-01 11:36:08: blacklist.woody.ch -----------------------------  √
2026-04-01 11:36:10: bogons.cymru.com -----------------------------  √
2026-04-01 11:36:12: bsb.empty.us -----------------------------  √
2026-04-01 11:36:14: bsb.spamlookup.net -----------------------------  √
2026-04-01 11:36:21: cart00ney.surriel.com -----------------------------  √
2026-04-01 11:36:23: cbl.abuseat.org -----------------------------  √
2026-04-01 11:36:25: cbl.anti-spam.org.cn ----------------------------- Invalid
2026-04-01 11:36:26: cblless.anti-spam.org.cn ----------------------------- Invalid
2026-04-01 11:36:26: cblplus.anti-spam.org.cn ----------------------------- Invalid
2026-04-01 11:36:26: cdl.anti-spam.org.cn ----------------------------- Invalid
2026-04-01 11:36:26: cidr.bl.mcafee.com -----------------------------  √
2026-04-01 11:36:28: combined.rbl.msrbl.net -----------------------------  √
2026-04-01 11:36:30: db.wpbl.info -----------------------------  √
2026-04-01 11:36:32: dev.null.dk -----------------------------  √
2026-04-01 11:36:34: dialups.visi.com -----------------------------  √
2026-04-01 11:36:36: dnsbl-0.uceprotect.net -----------------------------  √
2026-04-01 11:36:38: dnsbl-1.uceprotect.net -----------------------------  √
2026-04-01 11:36:40: dnsbl-2.uceprotect.net -----------------------------  √
2026-04-01 11:36:42: dnsbl-3.uceprotect.net ----------------------------- x   blacklisted (127.0.0.2)
2026-04-01 11:36:42: dnsbl.anticaptcha.net -----------------------------  √
2026-04-01 11:36:46: dnsbl.aspnet.hu -----------------------------  √
2026-04-01 11:36:53: dnsbl.inps.de -----------------------------  √
2026-04-01 11:36:55: dnsbl.justspam.org -----------------------------  √
2026-04-01 11:36:57: dnsbl.kempt.net -----------------------------  √
2026-04-01 11:36:59: dnsbl.madavi.de -----------------------------  √
2026-04-01 11:37:11: dnsbl.rizon.net -----------------------------  √
2026-04-01 11:37:13: dnsbl.rv-soft.info -----------------------------  √
2026-04-01 11:37:16: dnsbl.rymsho.ru -----------------------------  √
2026-04-01 11:37:18: dnsbl.zapbl.net -----------------------------  √
2026-04-01 11:37:20: dnsrbl.swinog.ch -----------------------------  √
2026-04-01 11:37:22: dul.pacifier.net -----------------------------  √
2026-04-01 11:37:29: dyn.nszones.com -----------------------------  √
2026-04-01 11:37:31: dyna.spamrats.com -----------------------------  √
2026-04-01 11:37:37: fnrbl.fast.net -----------------------------  √
2026-04-01 11:37:39: fresh.spameatingmonkey.net -----------------------------  √
2026-04-01 11:37:41: hostkarma.junkemailfilter.com -----------------------------  √
2026-04-01 11:37:43: images.rbl.msrbl.net -----------------------------  √
2026-04-01 11:37:46: ips.backscatterer.org -----------------------------  √
2026-04-01 11:37:48: ix.dnsbl.manitu.net -----------------------------  √
2026-04-01 11:37:50: korea.services.net -----------------------------  √
2026-04-01 11:37:52: l2.bbfh.ext.sorbs.net -----------------------------  √
2026-04-01 11:37:54: l3.bbfh.ext.sorbs.net -----------------------------  √
2026-04-01 11:37:56: l4.bbfh.ext.sorbs.net -----------------------------  √
2026-04-01 11:37:58: list.bbfh.org -----------------------------  √
2026-04-01 11:38:00: list.blogspambl.com -----------------------------  √
2026-04-01 11:38:02: mail-abuse.blacklist.jippg.org -----------------------------  √
2026-04-01 11:38:04: netbl.spameatingmonkey.net -----------------------------  √
2026-04-01 11:38:06: netscan.rbl.blockedservers.com -----------------------------  √
2026-04-01 11:38:09: no-more-funn.moensted.dk -----------------------------  √
2026-04-01 11:38:11: noptr.spamrats.com -----------------------------  √
2026-04-01 11:38:17: orvedb.aupads.org -----------------------------  √
2026-04-01 11:38:27: pbl.spamhaus.org -----------------------------  √
