2026-03-30 05:05:22:  Start checking... 
2026-03-30 05:05:22: bl.spamcop.net -----------------------------  √
2026-03-30 05:05:25: dnsbl.sorbs.net -----------------------------  √
2026-03-30 05:05:27: multi.surbl.org -----------------------------  √
2026-03-30 05:05:29: http.dnsbl.sorbs.net -----------------------------  √
2026-03-30 05:05:31: misc.dnsbl.sorbs.net -----------------------------  √
2026-03-30 05:05:33: socks.dnsbl.sorbs.net -----------------------------  √
2026-03-30 05:05:35: web.dnsbl.sorbs.net -----------------------------  √
2026-03-30 05:05:37: rbl.spamlab.com -----------------------------  √
2026-03-30 05:05:39: cbl.anti-spam.org.cn -----------------------------  √
2026-03-30 05:05:45: httpbl.abuse.ch -----------------------------  √
2026-03-30 05:05:47: virbl.bit.nl -----------------------------  √
2026-03-30 05:05:49: dsn.rfc-ignorant.org -----------------------------  √
2026-03-30 05:05:51: opm.tornevall.org -----------------------------  √
2026-03-30 05:05:53: multi.surbl.org -----------------------------  √
2026-03-30 05:05:56: relays.mail-abuse.org -----------------------------  √
2026-03-30 05:05:58: rbl-plus.mail-abuse.org -----------------------------  √
2026-03-30 05:06:00: rbl.interserver.net -----------------------------  √
2026-03-30 05:06:02: dul.dnsbl.sorbs.net -----------------------------  √
2026-03-30 05:06:04: smtp.dnsbl.sorbs.net -----------------------------  √
2026-03-30 05:06:06: spam.dnsbl.sorbs.net -----------------------------  √
2026-03-30 05:06:08: zombie.dnsbl.sorbs.net -----------------------------  √
2026-03-30 05:06:10: drone.abuse.ch -----------------------------  √
2026-03-30 05:06:12: rbl.suresupport.com -----------------------------  √
2026-03-30 05:06:14: spamguard.leadmon.net -----------------------------  √
2026-03-30 05:06:16: netblock.pedantic.org -----------------------------  √
2026-03-30 05:06:18: blackholes.mail-abuse.org -----------------------------  √
2026-03-30 05:06:20: dnsbl.dronebl.org -----------------------------  √
2026-03-30 05:06:23: query.senderbase.org -----------------------------  √
2026-03-30 05:06:25: csi.cloudmark.com -----------------------------  √
2026-03-30 05:06:27: 0spam-killlist.fusionzero.com -----------------------------  √
2026-03-30 05:06:29: access.redhawk.org -----------------------------  √
2026-03-30 05:06:39: all.rbl.jp -----------------------------  √
2026-03-30 05:06:41: all.spam-rbl.fr -----------------------------  √
2026-03-30 05:06:44: all.spamrats.com -----------------------------  √
2026-03-30 05:06:50: aspews.ext.sorbs.net -----------------------------  √
2026-03-30 05:06:52: b.barracudacentral.org -----------------------------  √
2026-03-30 05:06:54: backscatter.spameatingmonkey.net -----------------------------  √
2026-03-30 05:06:57: badnets.spameatingmonkey.net -----------------------------  √
2026-03-30 05:06:59: bb.barracudacentral.org -----------------------------  √
2026-03-30 05:07:01: bl.drmx.org -----------------------------  √
2026-03-30 05:07:03: bl.konstant.no -----------------------------  √
2026-03-30 05:07:05: bl.nszones.com ----------------------------- x   blacklisted (127.0.0.2)
2026-03-30 05:07:05: bl.spamcannibal.org -----------------------------  √
2026-03-30 05:07:07: bl.spameatingmonkey.net -----------------------------  √
2026-03-30 05:07:09: bl.spamstinks.com -----------------------------  √
2026-03-30 05:07:11: black.junkemailfilter.com -----------------------------  √
2026-03-30 05:07:13: blackholes.five-ten-sg.com -----------------------------  √
