2026-04-01 09:37:19:  Start checking... 
2026-04-01 09:37:19: bl.spamcop.net -----------------------------  √
2026-04-01 09:37:21: dnsbl.sorbs.net -----------------------------  √
2026-04-01 09:37:23: multi.surbl.org -----------------------------  √
2026-04-01 09:37:25: http.dnsbl.sorbs.net -----------------------------  √
2026-04-01 09:37:27: misc.dnsbl.sorbs.net -----------------------------  √
2026-04-01 09:37:29: socks.dnsbl.sorbs.net -----------------------------  √
2026-04-01 09:37:31: web.dnsbl.sorbs.net -----------------------------  √
2026-04-01 09:37:33: rbl.spamlab.com -----------------------------  √
2026-04-01 09:37:35: cbl.anti-spam.org.cn ----------------------------- Invalid
2026-04-01 09:37:35: httpbl.abuse.ch -----------------------------  √
2026-04-01 09:37:37: virbl.bit.nl -----------------------------  √
2026-04-01 09:37:39: dsn.rfc-ignorant.org -----------------------------  √
2026-04-01 09:37:41: opm.tornevall.org -----------------------------  √
2026-04-01 09:37:43: multi.surbl.org -----------------------------  √
2026-04-01 09:37:46: relays.mail-abuse.org -----------------------------  √
2026-04-01 09:37:48: rbl-plus.mail-abuse.org -----------------------------  √
2026-04-01 09:37:50: rbl.interserver.net -----------------------------  √
2026-04-01 09:37:52: dul.dnsbl.sorbs.net -----------------------------  √
2026-04-01 09:37:54: smtp.dnsbl.sorbs.net -----------------------------  √
2026-04-01 09:37:56: spam.dnsbl.sorbs.net -----------------------------  √
2026-04-01 09:37:58: zombie.dnsbl.sorbs.net -----------------------------  √
2026-04-01 09:38:00: drone.abuse.ch -----------------------------  √
2026-04-01 09:38:02: rbl.suresupport.com -----------------------------  √
2026-04-01 09:38:04: spamguard.leadmon.net -----------------------------  √
2026-04-01 09:38:06: netblock.pedantic.org -----------------------------  √
2026-04-01 09:38:09: blackholes.mail-abuse.org -----------------------------  √
2026-04-01 09:38:11: dnsbl.dronebl.org -----------------------------  √
2026-04-01 09:38:13: query.senderbase.org -----------------------------  √
2026-04-01 09:38:15: csi.cloudmark.com -----------------------------  √
2026-04-01 09:38:22: 0spam-killlist.fusionzero.com -----------------------------  √
2026-04-01 09:38:24: access.redhawk.org -----------------------------  √
2026-04-01 09:38:34: all.rbl.jp -----------------------------  √
2026-04-01 09:38:36: all.spam-rbl.fr -----------------------------  √
2026-04-01 09:38:39: all.spamrats.com -----------------------------  √
2026-04-01 09:38:45: aspews.ext.sorbs.net -----------------------------  √
2026-04-01 09:38:47: b.barracudacentral.org -----------------------------  √
2026-04-01 09:38:49: backscatter.spameatingmonkey.net -----------------------------  √
2026-04-01 09:38:51: badnets.spameatingmonkey.net -----------------------------  √
2026-04-01 09:38:54: bb.barracudacentral.org -----------------------------  √
2026-04-01 09:38:56: bl.drmx.org -----------------------------  √
2026-04-01 09:38:58: bl.konstant.no -----------------------------  √
2026-04-01 09:39:00: bl.nszones.com -----------------------------  √
2026-04-01 09:39:02: bl.spamcannibal.org -----------------------------  √
2026-04-01 09:39:04: bl.spameatingmonkey.net -----------------------------  √
2026-04-01 09:39:07: bl.spamstinks.com -----------------------------  √
2026-04-01 09:39:09: black.junkemailfilter.com -----------------------------  √
2026-04-01 09:39:16: blackholes.five-ten-sg.com -----------------------------  √
2026-04-01 09:39:18: blacklist.sci.kun.nl -----------------------------  √
2026-04-01 09:39:20: blacklist.woody.ch -----------------------------  √
2026-04-01 09:39:22: bogons.cymru.com -----------------------------  √
2026-04-01 09:39:24: bsb.empty.us -----------------------------  √
2026-04-01 09:39:26: bsb.spamlookup.net -----------------------------  √
2026-04-01 09:39:29: cart00ney.surriel.com -----------------------------  √
2026-04-01 09:39:31: cbl.abuseat.org -----------------------------  √
2026-04-01 09:39:33: cbl.anti-spam.org.cn ----------------------------- Invalid
2026-04-01 09:39:33: cblless.anti-spam.org.cn ----------------------------- Invalid
2026-04-01 09:39:33: cblplus.anti-spam.org.cn ----------------------------- Invalid
2026-04-01 09:39:33: cdl.anti-spam.org.cn ----------------------------- Invalid
2026-04-01 09:39:33: cidr.bl.mcafee.com -----------------------------  √
2026-04-01 09:39:35: combined.rbl.msrbl.net -----------------------------  √
2026-04-01 09:39:37: db.wpbl.info -----------------------------  √
2026-04-01 09:39:39: dev.null.dk -----------------------------  √
2026-04-01 09:39:41: dialups.visi.com -----------------------------  √
2026-04-01 09:39:44: dnsbl-0.uceprotect.net -----------------------------  √
2026-04-01 09:39:46: dnsbl-1.uceprotect.net -----------------------------  √
2026-04-01 09:39:48: dnsbl-2.uceprotect.net -----------------------------  √
2026-04-01 09:39:50: dnsbl-3.uceprotect.net ----------------------------- x   blacklisted (127.0.0.2)
2026-04-01 09:39:50: dnsbl.anticaptcha.net -----------------------------  √
2026-04-01 09:39:53: dnsbl.aspnet.hu -----------------------------  √
2026-04-01 09:39:59: dnsbl.inps.de -----------------------------  √
