2026-03-31 19:21:06:  Start checking... 
2026-03-31 19:21:06: bl.spamcop.net -----------------------------  √
2026-03-31 19:21:08: dnsbl.sorbs.net -----------------------------  √
2026-03-31 19:21:10: multi.surbl.org -----------------------------  √
2026-03-31 19:21:12: http.dnsbl.sorbs.net -----------------------------  √
2026-03-31 19:21:14: misc.dnsbl.sorbs.net -----------------------------  √
2026-03-31 19:21:16: socks.dnsbl.sorbs.net -----------------------------  √
2026-03-31 19:21:18: web.dnsbl.sorbs.net -----------------------------  √
2026-03-31 19:21:20: rbl.spamlab.com -----------------------------  √
2026-03-31 19:21:22: cbl.anti-spam.org.cn ----------------------------- Invalid
2026-03-31 19:21:22: httpbl.abuse.ch -----------------------------  √
2026-03-31 19:21:24: virbl.bit.nl -----------------------------  √
2026-03-31 19:21:27: dsn.rfc-ignorant.org -----------------------------  √
2026-03-31 19:21:29: opm.tornevall.org -----------------------------  √
2026-03-31 19:21:31: multi.surbl.org -----------------------------  √
2026-03-31 19:21:33: relays.mail-abuse.org -----------------------------  √
2026-03-31 19:21:35: rbl-plus.mail-abuse.org -----------------------------  √
2026-03-31 19:21:38: rbl.interserver.net -----------------------------  √
2026-03-31 19:21:40: dul.dnsbl.sorbs.net -----------------------------  √
2026-03-31 19:21:42: smtp.dnsbl.sorbs.net -----------------------------  √
2026-03-31 19:21:44: spam.dnsbl.sorbs.net -----------------------------  √
2026-03-31 19:21:46: zombie.dnsbl.sorbs.net -----------------------------  √
2026-03-31 19:21:48: drone.abuse.ch -----------------------------  √
2026-03-31 19:21:50: rbl.suresupport.com -----------------------------  √
2026-03-31 19:21:52: spamguard.leadmon.net -----------------------------  √
2026-03-31 19:21:55: netblock.pedantic.org -----------------------------  √
2026-03-31 19:21:57: blackholes.mail-abuse.org -----------------------------  √
2026-03-31 19:21:59: dnsbl.dronebl.org -----------------------------  √
2026-03-31 19:22:01: query.senderbase.org -----------------------------  √
2026-03-31 19:22:03: csi.cloudmark.com -----------------------------  √
2026-03-31 19:22:05: 0spam-killlist.fusionzero.com -----------------------------  √
2026-03-31 19:22:07: access.redhawk.org -----------------------------  √
2026-03-31 19:22:17: all.rbl.jp -----------------------------  √
2026-03-31 19:22:19: all.spam-rbl.fr -----------------------------  √
2026-03-31 19:22:22: all.spamrats.com -----------------------------  √
2026-03-31 19:22:29: aspews.ext.sorbs.net -----------------------------  √
2026-03-31 19:22:31: b.barracudacentral.org -----------------------------  √
2026-03-31 19:22:33: backscatter.spameatingmonkey.net -----------------------------  √
2026-03-31 19:22:35: badnets.spameatingmonkey.net -----------------------------  √
2026-03-31 19:22:37: bb.barracudacentral.org -----------------------------  √
2026-03-31 19:22:39: bl.drmx.org -----------------------------  √
2026-03-31 19:22:41: bl.konstant.no -----------------------------  √
2026-03-31 19:22:43: bl.nszones.com -----------------------------  √
2026-03-31 19:22:46: bl.spamcannibal.org -----------------------------  √
2026-03-31 19:22:48: bl.spameatingmonkey.net -----------------------------  √
2026-03-31 19:22:50: bl.spamstinks.com -----------------------------  √
2026-03-31 19:22:52: black.junkemailfilter.com -----------------------------  √
2026-03-31 19:22:54: blackholes.five-ten-sg.com -----------------------------  √
2026-03-31 19:22:56: blacklist.sci.kun.nl -----------------------------  √
2026-03-31 19:22:58: blacklist.woody.ch -----------------------------  √
2026-03-31 19:23:00: bogons.cymru.com -----------------------------  √
2026-03-31 19:23:03: bsb.empty.us -----------------------------  √
2026-03-31 19:23:05: bsb.spamlookup.net -----------------------------  √
2026-03-31 19:23:07: cart00ney.surriel.com -----------------------------  √
2026-03-31 19:23:09: cbl.abuseat.org -----------------------------  √
2026-03-31 19:23:11: cbl.anti-spam.org.cn ----------------------------- Invalid
2026-03-31 19:23:11: cblless.anti-spam.org.cn ----------------------------- Invalid
2026-03-31 19:23:12: cblplus.anti-spam.org.cn ----------------------------- Invalid
2026-03-31 19:23:12: cdl.anti-spam.org.cn ----------------------------- Invalid
2026-03-31 19:23:12: cidr.bl.mcafee.com -----------------------------  √
2026-03-31 19:23:14: combined.rbl.msrbl.net -----------------------------  √
2026-03-31 19:23:17: db.wpbl.info -----------------------------  √
2026-03-31 19:23:19: dev.null.dk -----------------------------  √
2026-03-31 19:23:21: dialups.visi.com -----------------------------  √
2026-03-31 19:23:23: dnsbl-0.uceprotect.net -----------------------------  √
2026-03-31 19:23:25: dnsbl-1.uceprotect.net -----------------------------  √
2026-03-31 19:23:32: dnsbl-2.uceprotect.net -----------------------------  √
2026-03-31 19:23:34: dnsbl-3.uceprotect.net -----------------------------  √
2026-03-31 19:23:36: dnsbl.anticaptcha.net -----------------------------  √
2026-03-31 19:23:39: dnsbl.aspnet.hu -----------------------------  √
2026-03-31 19:23:46: dnsbl.inps.de -----------------------------  √
2026-03-31 19:23:48: dnsbl.justspam.org -----------------------------  √
2026-03-31 19:23:50: dnsbl.kempt.net -----------------------------  √
2026-03-31 19:23:52: dnsbl.madavi.de -----------------------------  √
2026-03-31 19:24:04: dnsbl.rizon.net -----------------------------  √
2026-03-31 19:24:06: dnsbl.rv-soft.info -----------------------------  √
2026-03-31 19:24:09: dnsbl.rymsho.ru -----------------------------  √
2026-03-31 19:24:11: dnsbl.zapbl.net -----------------------------  √
2026-03-31 19:24:13: dnsrbl.swinog.ch -----------------------------  √
2026-03-31 19:24:16: dul.pacifier.net -----------------------------  √
2026-03-31 19:24:22: dyn.nszones.com -----------------------------  √
2026-03-31 19:24:24: dyna.spamrats.com -----------------------------  √
2026-03-31 19:24:30: fnrbl.fast.net -----------------------------  √
2026-03-31 19:24:32: fresh.spameatingmonkey.net -----------------------------  √
2026-03-31 19:24:34: hostkarma.junkemailfilter.com -----------------------------  √
2026-03-31 19:24:36: images.rbl.msrbl.net -----------------------------  √
2026-03-31 19:24:39: ips.backscatterer.org -----------------------------  √
2026-03-31 19:24:41: ix.dnsbl.manitu.net -----------------------------  √
2026-03-31 19:24:43: korea.services.net -----------------------------  √
2026-03-31 19:24:45: l2.bbfh.ext.sorbs.net -----------------------------  √
2026-03-31 19:24:47: l3.bbfh.ext.sorbs.net -----------------------------  √
2026-03-31 19:24:49: l4.bbfh.ext.sorbs.net -----------------------------  √
2026-03-31 19:24:51: list.bbfh.org -----------------------------  √
